iter	Passed	Remaining
489	3236	3368
490	3242	3361
491	3248	3354
492	3255	3347
493	3261	3341
494	3268	3334
495	3274	3327
496	3280	3320
497	3287	3313
498	3293	3306
499	3299	3299
500	3306	3292
501	3312	3286
502	3319	3280
503	3327	3274
504	3333	3267
505	3340	3260
506	3346	3254
507	3353	3247
508	3360	3241
509	3366	3234
510	3373	3228
511	3380	3221
512	3387	3215
513	3393	3208
514	3400	3202
515	3406	3195
516	3413	3189
517	3420	3182
518	3427	3176
519	3433	3169
520	3440	3162
521	3446	3156
522	3453	3149
523	3459	3142
524	3466	3136
525	3473	3129
526	3479	3123
527	3486	3116
528	3493	3110
529	3499	3103
530	3506	3097
531	3513	3090
532	3519	3083
533	3525	3076
534	3532	3070
535	3539	3064
536	3546	3057
537	3553	3051
538	3559	3044
539	3566	3038
540	3573	3031
541	3579	3024
542	3585	3018
543	3592	3011
544	3599	3004
545	3605	2998
546	3612	2991
547	3618	2985
548	3625	2978
549	3632	2972
550	3638	2965
551	3646	2959
552	3652	2952
553	3659	2945
554	3665	2939
555	3672	2932
556	3679	2926
557	3686	2920
558	3693	2914
559	3700	2907
560	3707	2901
561	3714	2894
562	3721	2888
563	3728	2882
564	3736	2876
565	3743	2870
566	3753	2866
567	3762	2861
568	3769	2855
569	3776	2848
570	3783	2842
571	3790	2836
572	3797	2830
573	3804	2823
574	3811	2817
575	3818	2810
576	3825	2804
577	3832	2798
578	3839	2791
579	3846	2785
580	3853	2779
581	3861	2773
582	3869	2767
583	3876	2761
584	3883	2754
585	3890	2748
586	3896	2741
587	3902	2734
588	3909	2728
589	3916	2721
590	3922	2714
591	3929	2708
592	3936	2701
593	3942	2694
594	3949	2688
595	3955	2681
596	3962	2674
597	3969	2668
598	3975	2661
599	3982	2655
600	3989	2648
601	3996	2642
602	4003	2635
603	4009	2628
604	4016	2622
605	4022	2615
606	4029	2608
607	4035	2601
608	4042	2595
609	4049	2588
610	4056	2582
611	4062	2575
612	4069	2569
613	4075	2562
614	4082	2555
615	4088	2548
616	4095	2542
617	4102	2536
618	4109	2529
619	4115	2522
620	4122	2516
621	4129	2509
622	4135	2502
623	4142	2495
624	4148	2489
625	4155	2482
626	4161	2475
627	4168	2469
628	4174	2462
629	4180	2455
630	4187	2448
631	4193	2441
632	4200	2435
633	4207	2428
634	4213	2422
635	4220	2415
636	4226	2408
637	4233	2402
638	4240	2395
639	4246	2388
640	4253	2382
641	4259	2375
642	4265	2368
643	4272	2361
644	4278	2354
645	4284	2347
646	4291	2341
647	4297	2334
648	4304	2327
649	4311	2321
650	4317	2314
651	4324	2308
652	4331	2301
653	4337	2295
654	4344	2288
655	4351	2281
656	4358	2275
657	4364	2268
658	4371	2262
659	4377	2255
660	4384	2248
661	4391	2241
662	4397	2235
663	4404	2228
664	4411	2222
665	4417	2215
666	4424	2208
667	4431	2202
668	4438	2195
669	4444	2189
670	4451	2182
671	4458	2176
672	4464	2169
673	4471	2162
674	4477	2155
675	4484	2149
676	4490	2142
677	4497	2135
678	4503	2129
679	4510	2122
680	4517	2115
681	4523	2109
682	4530	2102
683	4537	2096
684	4544	2089
685	4550	2083
686	4557	2076
687	4564	2070
688	4571	2063
689	4578	2057
690	4585	2050
691	4592	2044
692	4599	2037
693	4606	2031
694	4613	2024
695	4620	2018
696	4626	2011
697	4633	2004
698	4640	1998
699	4647	1991
700	4653	1984
701	4660	1978
702	4667	1971
703	4674	1965
704	4680	1958
705	4687	1951
706	4693	1945
707	4700	1938
708	4708	1932
709	4715	1926
710	4722	1919
711	4729	1913
712	4736	1906
713	4743	1899
714	4749	1893
715	4756	1886
716	4763	1880
717	4770	1873
718	4777	1867
719	4784	1860
720	4791	1854
721	4799	1847
722	4805	1841
723	4813	1834
724	4820	1828
725	4827	1821
726	4834	1815
727	4841	1808
728	4848	1802
729	4856	1796
730	4865	1790
731	4874	1784
732	4881	1778
733	4889	1771
734	4896	1765
735	4903	1758
736	4910	1752
737	4917	1745
738	4924	1739
739	4930	1732
740	4937	1725
741	4944	1719
742	4950	1712
743	4957	1705
744	4964	1699
745	4970	1692
746	4977	1685
747	4984	1679
748	4991	1672
749	4997	1665
750	5004	1659
751	5011	1652
752	5018	1646
753	5025	1639
754	5031	1632
755	5038	1626
756	5045	1619
757	5051	1612
758	5058	1606
759	5064	1599
760	5071	1592
761	5077	1585
762	5083	1579
763	5090	1572
764	5096	1565
765	5102	1558
766	5109	1552
767	5116	1545
768	5123	1538
769	5129	1532
770	5136	1525
771	5143	1518
772	5149	1512
773	5156	1505
774	5163	1499
775	5169	1492
776	5176	1485
777	5183	1479
778	5189	1472
779	5196	1465
780	5203	1459
781	5209	1452
782	5216	1445
783	5223	1439
784	5230	1432
785	5237	1425
786	5243	1419
787	5250	1412
788	5256	1405
789	5263	1399
790	5270	1392
791	5276	1385
792	5283	1379
793	5290	1372
794	5297	1366
795	5304	1359
796	5310	1352
797	5317	1345
798	5323	1339
799	5330	1332
800	5337	1325
801	5343	1319
802	5350	1312
803	5357	1305
804	5363	1299
805	5369	1292
806	5376	1285
807	5383	1279
808	5389	1272
809	5396	1265
810	5402	1259
811	5409	1252
812	5415	1245
813	5422	1239
814	5429	1232
815	5436	1225
816	5442	1219
817	5448	1212
818	5455	1205
819	5461	1198
820	5468	1192
821	5475	1185
822	5481	1178
823	5488	1172
824	5494	1165
825	5501	1158
826	5508	1152
827	5514	1145
828	5521	1138
829	5528	1132
830	5534	1125
831	5540	1118
832	5547	1112
833	5553	1105
834	5560	1098
835	5566	1092
836	5573	1085
837	5579	1078
838	5586	1071
839	5593	1065
840	5599	1058
841	5606	1052
842	5612	1045
843	5619	1038
844	5625	1031
845	5632	1025
846	5638	1018
847	5644	1011
848	5651	1005
849	5658	998
850	5664	991
851	5671	985
852	5678	978
853	5685	971
854	5691	965
855	5698	958
856	5705	951
857	5711	945
858	5718	938
859	5724	931
860	5731	925
861	5739	918
862	5746	912
863	5753	905
864	5760	898
865	5766	892
866	5773	885
867	5780	879
868	5787	872
869	5794	865
870	5802	859
871	5809	852
872	5816	846
873	5822	839
874	5829	832
875	5836	826
876	5843	819
877	5850	813
878	5857	806
879	5864	799
880	5872	793
881	5878	786
882	5885	779
883	5892	773
884	5899	766
885	5907	760
886	5914	753
887	5922	747
888	5929	740
889	5935	733
890	5941	726
891	5948	720
892	5954	713
893	5961	706
894	5967	700
895	5974	693
896	5980	686
897	5987	680
898	5993	673
899	6000	666
900	6006	660
901	6013	653
902	6020	646
903	6027	640
904	6033	633
905	6040	626
906	6047	620
907	6053	613
908	6060	606
909	6066	600
910	6073	593
911	6080	586
912	6087	580
913	6093	573
914	6100	566
915	6107	560
916	6114	553
917	6120	546
918	6127	540
919	6133	533
920	6140	526
921	6146	520
922	6153	513
923	6160	506
924	6166	499
925	6172	493
926	6178	486
927	6185	479
928	6192	473
929	6198	466
930	6205	459
931	6212	453
932	6218	446
933	6225	439
934	6231	433
935	6238	426
936	6245	419
937	6251	413
938	6258	406
939	6264	399
940	6271	393
941	6278	386
942	6285	379
943	6292	373
944	6298	366
945	6305	359
946	6312	353
947	6319	346
948	6325	339
949	6332	333
950	6338	326
951	6345	319
952	6352	313
953	6359	306
954	6366	299
955	6372	293
956	6379	286
957	6386	279
958	6392	273
959	6398	266
960	6405	259
961	6412	253
962	6419	246
963	6426	239
964	6433	233
965	6439	226
966	6446	219
967	6453	213
968	6459	206
969	6466	199
970	6472	193
971	6479	186
972	6486	179
973	6493	173
974	6499	166
975	6506	159
976	6512	153
977	6519	146
978	6526	140
979	6533	133
980	6539	126
981	6546	119
982	6552	113
983	6559	106
984	6566	99
985	6572	93
986	6579	86
987	6585	79
988	6591	73
989	6597	66
990	6604	59
991	6611	53
992	6617	46
993	6623	39
994	6630	33
995	6636	26
996	6642	19
997	6649	13
998	6656	6
999	6662	0
