iter	RMSE
0	167.6176229
1	160.6521664
2	154.1754157
3	148.3801075
4	142.7861545
5	137.7490264
6	133.0099181
7	128.6318723
8	124.4113226
9	120.7147002
10	117.2321812
11	113.9236727
12	111.0333791
13	108.2965155
14	105.8782933
15	103.7047994
16	101.5443186
17	99.6808341
18	98.04161764
19	96.33986183
20	94.85482221
21	93.52865352
22	92.39756843
23	91.26604144
24	90.28192265
25	89.39304398
26	88.55108359
27	87.78725308
28	87.08701641
29	86.42274446
30	85.78941216
31	85.27120277
32	84.82984529
33	84.30440681
34	83.8976937
35	83.5270201
36	83.11723802
37	82.78373572
38	82.52359427
39	82.27412068
40	82.02320178
41	81.80524101
42	81.61635522
43	81.41144522
44	81.23895573
45	81.06838814
46	80.90759671
47	80.74982094
48	80.61465243
49	80.54146059
50	80.34305256
51	80.24553586
52	80.17045515
53	80.03597296
54	79.94523241
55	79.77721859
56	79.70038107
57	79.61892686
58	79.55193463
59	79.48289836
60	79.3859107
61	79.32476176
62	79.26738231
63	79.15186258
64	79.09157942
65	79.03016996
66	78.95488764
67	78.90308717
68	78.86885004
69	78.82481977
70	78.77273898
71	78.69339869
72	78.65470073
73	78.61427955
74	78.57644059
75	78.49000898
76	78.44763139
77	78.39167646
78	78.352486
79	78.32374054
80	78.28984632
81	78.24809312
82	78.20312819
83	78.17080023
84	78.14490276
85	78.10195265
86	78.05105615
87	78.01229037
88	77.96769194
89	77.92176136
90	77.87630029
91	77.82952826
92	77.79910368
93	77.74346273
94	77.70576192
95	77.67087343
96	77.63976389
97	77.61901564
98	77.58678983
99	77.53116601
100	77.49515459
101	77.45985856
102	77.4244791
103	77.3778886
104	77.33908353
105	77.29972961
106	77.26971499
107	77.23472882
108	77.20435448
109	77.18033885
110	77.14045517
111	77.11043841
112	77.06615219
113	77.02114021
114	77.00407978
115	76.95460938
116	76.9297802
117	76.88533874
118	76.85206615
119	76.82097549
120	76.79409498
121	76.76980909
122	76.73665599
123	76.69922755
124	76.6615349
125	76.63786696
126	76.61696873
127	76.56475425
128	76.51026556
129	76.47127984
130	76.43128551
131	76.40075305
132	76.36660202
133	76.3198501
134	76.2850304
135	76.25505898
136	76.21392377
137	76.18671701
138	76.15327552
139	76.12437237
140	76.09236143
141	76.05462507
142	76.03162654
143	75.99788735
144	75.97418043
145	75.92954668
146	75.9010241
147	75.87077881
148	75.82004406
149	75.79786883
150	75.775291
151	75.74832659
152	75.71508019
153	75.67978586
154	75.65160009
155	75.61182719
156	75.57380675
157	75.5355438
158	75.51226046
159	75.46935805
160	75.43125466
161	75.39244669
162	75.34855686
163	75.32411456
164	75.29610468
165	75.27070896
166	75.24114209
167	75.21377119
168	75.18313344
169	75.1519743
170	75.12441183
171	75.102629
172	75.05680276
173	75.02293036
174	74.99549447
175	74.96808379
176	74.93359817
177	74.90253725
178	74.873086
179	74.83298364
180	74.80776309
181	74.76371364
182	74.73281635
183	74.69656114
184	74.66014619
185	74.63432666
186	74.61146877
187	74.56210225
188	74.51315475
189	74.48180788
190	74.45213168
191	74.40304335
192	74.37277116
193	74.34146053
194	74.31165002
195	74.28270642
196	74.25904976
197	74.22754188
198	74.19637932
199	74.17368259
200	74.14916029
201	74.10607383
202	74.084687
203	74.04411394
204	74.01073214
205	73.97029722
206	73.94206703
207	73.92556638
208	73.88018135
209	73.85349332
210	73.83055965
211	73.80889798
212	73.78302157
213	73.74917975
214	73.70412791
215	73.65586978
216	73.62488919
217	73.59946286
218	73.5677334
219	73.52415235
220	73.49436688
221	73.44175501
222	73.41601404
223	73.38102104
224	73.34387298
225	73.30852526
226	73.27392132
227	73.25138009
228	73.20268925
229	73.17731674
230	73.14364334
231	73.11094816
232	73.07447249
233	73.05519538
234	73.01844102
235	72.97869401
236	72.95085649
237	72.91447424
238	72.87418085
239	72.83307084
240	72.79728187
241	72.77240885
242	72.74023906
243	72.70073826
244	72.66607483
245	72.61349142
246	72.58185835
247	72.54890973
248	72.51405132
249	72.46807814
250	72.43214857
251	72.40659514
252	72.37622851
253	72.36270762
254	72.33463231
255	72.29668839
256	72.26278352
257	72.2229927
258	72.19985154
259	72.16639715
260	72.1268957
261	72.08916739
262	72.04658208
263	72.00651061
264	71.9834194
265	71.94812141
266	71.91297803
267	71.88253881
268	71.85352074
269	71.82334967
270	71.78975254
271	71.74158145
272	71.70893902
273	71.68393177
274	71.65368278
275	71.63165075
276	71.60573991
277	71.58229121
278	71.55842218
279	71.53010341
280	71.50574065
281	71.47670459
282	71.43933055
283	71.4010131
284	71.37439083
285	71.33046996
286	71.29314254
287	71.25893909
288	71.22878715
289	71.19353552
290	71.16501214
291	71.14261389
292	71.11490886
293	71.0919335
294	71.06080739
